Month, Passengers
2008-01, 2349
2008-02, 2249
2008-03, 2597
2008-04, 2699
2008-05, 3042
2008-06, 2665
2008-07, 3357
2008-08, 3426
2008-09, 2575
2008-10, 2661
2008-11, 2177
2008-12, 2091
2009-01, 2242
2009-02, 1848
2009-03, 2400
2009-04, 2593
2009-05, 2601
2009-06, 2777
2009-07, 3247
2009-08, 3296
2009-09, 2718
2009-10, 2666
2009-11, 2352
2009-12, 2332
2010-01, 2187
2010-02, 1875
2010-03, 2233
2010-04, 2286
2010-05, 2776
2010-06, 2598
2010-07, 3282
2010-08, 3160
2010-09, 2532
2010-10, 2846
2010-11, 2480
2010-12, 2143
2011-01, 2215
2011-02, 1871
2011-03, 2497
2011-04, 2691
2011-05, 2853
2011-06, 2918
2011-07, 3465
2011-08, 3286
2011-09, 2653
2011-10, 2889
2011-11, 2340
2011-12, 2209
2012-01, 2392
2012-02, 1835
2012-03, 2419
2012-04, 2963
2012-05, 3045
2012-06, 2614
2012-07, 3429
2012-08, 2855
2012-09, 2814
2012-10, 2786
2012-11, 2553
2012-12, 2517
2013-01, 2290
2013-02, 2019
2013-03, 2245
2013-04, 2960
2013-05, 3152
2013-06, 3000
2013-07, 3356
2013-08, 3639
2013-09, 2879
2013-10, 3072
2013-11, 2481
2013-12, 2474
2014-01, 2456
2014-02, 2186
2014-03, 2405
2014-04, 3054
2014-05, 3404
2014-06, 3379
2014-07, 3538
2014-08, 3671
2014-09, 3096
2014-10, 3081
2014-11, 2655
2014-12, 2412
2015-01, 2640
2015-02, 2281
2015-03, 2615
2015-04, 3115
2015-05, 3598
2015-06, 3276
2015-07, 3689
2015-08, 3709
2015-09, 3114
2015-10, 3522
2015-11, 2660
2015-12, 2573
2016-01, 2857
2016-02, 2514
2016-03, 2827
2016-04, 3059
2016-05, 3672
2016-06, 3406
2016-07, 3877
2016-08, 3854
2016-09, 3161
2016-10, 3535
2016-11, 3258
2016-12, 3107
2017-01, 3123
2017-02, 2528
2017-03, 3196
2017-04, 3731
2017-05, 3619
2017-06, 3662
2017-07, 4344
2017-08, 4253
2017-09, 3302
2017-10, 3359
2017-11, 3183
2017-12, 2780
2018-01, 2734
2018-02, 2573
2018-03, 3240
2018-04, 3404
2018-05, 3614
2018-06, 3503
2018-07, 4172
2018-08, 4126
2018-09, 3237
2018-10, 3491
2018-11, 3112
2018-12, 3075
2019-01, 2830
2019-02, 2372
2019-03, 3129
2019-04, 3199
2019-05, 3438
2019-06, 3727
2019-07, 4155
2019-08, 4418
2019-09, 3292
2019-10, 3731
2019-11, 3121
2019-12, 3445
